voltage,current,resistance
0.2845,4.49494,0.0446149
0.293,4.46741,0.0446085
0.3015,4.4419,0.0445148
0.3069,4.41437,0.0444685
0.3182,4.38751,0.0443759
0.3246,4.36334,0.0442607
0.3313,4.3385,0.0441226
0.3421,4.31098,0.0439736
0.3517,4.28412,0.0439069
0.3603,4.25794,0.0436919
0.3682,4.23108,0.0436227
0.3763,4.20691,0.0435463
0.3836,4.17871,0.043389
0.3913,4.15588,0.0432619
0.4004,4.1344,0.0431947
0.4063,4.11359,0.0431038
0.415,4.07398,0.0429331
0.4239,4.05249,0.042846
0.4323,4.03638,0.0428575
0.4392,4.00079,0.0427153
0.4463,3.96454,0.0426822
0.4532,3.9444,0.0426657
0.4605,3.91889,0.042533
0.4675,3.90009,0.0425324
0.4732,3.86786,0.0424109
0.4812,3.85108,0.0425138
0.4878,3.81415,0.0423975
0.4934,3.79401,0.0423748
0.4985,3.76447,0.042476
0.5047,3.73627,0.0424107
0.5093,3.71277,0.0423264
0.516,3.68524,0.0423823
0.5202,3.66913,0.0422601
0.5254,3.6322,0.0423789
0.5316,3.61072,0.0422993
0.5351,3.58118,0.042297
0.5404,3.55567,0.042257
0.5451,3.52814,0.0421218
0.5504,3.50397,0.0421333
0.5557,3.47577,0.0419644
0.5591,3.45429,0.0420253
0.5662,3.42474,0.0419973
0.5715,3.39856,0.0418707
0.5743,3.37305,0.0417698
0.5786,3.34686,0.0419309
0.5824,3.31867,0.0417041
0.585,3.29584,0.0416928
0.5902,3.2663,0.0416895
0.5948,3.24414,0.0416079
0.598,3.21192,0.041554
0.6026,3.18775,0.0414699
0.606,3.16626,0.0413717
0.6096,3.13538,0.0414891
0.613,3.10986,0.0414925
0.6167,3.08234,0.0413271
0.6203,3.06085,0.0413423
0.623,3.03534,0.0413005
0.6265,3.00916,0.0412091
0.6289,2.98431,0.0411475
0.6322,2.95746,0.0411029
0.6357,2.92859,0.0411533
0.6377,2.90308,0.0410205
0.6411,2.87689,0.0411314
0.6442,2.85004,0.0409444
0.647,2.82385,0.0409952
0.6497,2.80036,0.0409514
0.6528,2.77216,0.0410899
0.6555,2.75604,0.040949
0.6571,2.72247,0.0408299
0.6579,2.6936,0.0406887
0.6603,2.67413,0.0405798
0.6613,2.64661,0.0406405
0.6647,2.61908,0.0405494
0.6667,2.5835,0.0403997
0.6695,2.56134,0.0404397
0.6723,2.53583,0.0406225
0.6736,2.50629,0.0403998
0.6768,2.48615,0.0402691
0.6778,2.45795,0.0402117
0.681,2.43311,0.0402573
0.682,2.41095,0.0401763
0.6849,2.38074,0.0402561
0.6867,2.35724,0.0401223
0.6885,2.3324,0.0400944
0.6911,2.30756,0.040008
0.6925,2.27734,0.0399723
0.6945,2.2525,0.0399298
0.6976,2.23639,0.0401203
0.6989,2.20282,0.0400847
0.7004,2.18536,0.0400912
0.7034,2.14978,0.0401413
0.7051,2.12427,0.0401487
0.7068,2.0954,0.0399779
0.7093,2.06586,0.039964
0.7106,2.04303,0.0401327
0.7136,2.0296,0.0399815
0.7147,1.98932,0.0398599
0.7177,1.96582,0.0399525
0.7192,1.93829,0.0399167
0.7215,1.91412,0.0400683
0.7233,1.88593,0.0403372
0.7258,1.85236,0.0401977
0.7271,1.83154,0.0400543
0.7292,1.81073,0.0401871
0.7314,1.7785,0.0401816
0.733,1.75836,0.0402366
0.735,1.73419,0.0403473
0.7373,1.70868,0.0404456
0.7387,1.68048,0.0402133
0.7407,1.6543,0.0404014
0.7427,1.62677,0.040612
0.7446,1.60126,0.0404794
0.7455,1.57642,0.0404186
0.7485,1.54688,0.0404161
0.7507,1.52271,0.0405186
0.7524,1.49652,0.0408565
0.7544,1.47101,0.0408253
0.7554,1.4502,0.0406914
0.7578,1.41864,0.0408817
0.7598,1.39179,0.0409546
0.761,1.36426,0.0411181
0.7631,1.3421,0.0409696
0.7652,1.3139,0.0414645
0.7678,1.28571,0.0441943
0.7687,1.26221,0.0435612
0.7714,1.23401,0.0414995
0.7725,1.21051,0.0412441
0.7747,1.18903,0.0415516
0.7766,1.16016,0.0412168
0.7783,1.1286,0.0418675
0.7813,1.10645,0.0415967
0.783,1.07758,0.0413623
0.7856,1.05139,0.0419508
0.7865,1.03058,0.0420117
0.7889,1.00372,0.0422352
0.7912,0.97821,0.0420338
0.7928,0.95001,0.0422842
0.7948,0.92316,0.0420008
0.7969,0.89429,0.0425911
0.7992,0.87079,0.0422235
0.8009,0.84729,0.0425892
0.8033,0.82111,0.0427344
0.8055,0.79224,0.0426374
0.8082,0.76471,0.0429674
0.8102,0.73786,0.0431051
0.8124,0.71301,0.043011
0.8148,0.68146,0.0431028
0.8167,0.65863,0.0432819
0.8191,0.63446,0.0381351
0.8221,0.60828,0.0440772
0.8236,0.58612,0.0442323
0.8271,0.5539,0.0446869
0.8296,0.53241,0.04399
0.8316,0.50958,0.0440336
0.8345,0.48071,0.0446611
0.8373,0.45654,0.0443688
0.8399,0.42902,0.044783
0.8429,0.4035,0.0449213
0.8461,0.37665,0.0459219
0.848,0.35248,0.0454477
0.8529,0.32562,0.0452239
0.8561,0.29877,0.0468627
0.8599,0.28467,0.0457142
0.8629,0.2464,0.0468903
0.8678,0.22089,0.0482798
0.8719,0.19806,0.0478764
0.8762,0.15845,0.0478944
0.8812,0.14301,0.0473702
0.8877,0.11548,0.0480652
0.8939,0.0846,0.0431791
0.9023,0.06378,0.0463374
0.9128,0.03693,0.0435511
0.9296,0.01141,0.0559092
0.9888,-0.01947,0.0567436
